clave,cpi
01001,52.27
01011,48.94
02002,57.12
02004,56.35
03003,64.17
04002,52.05
05002,65.38
05025,53.18
05027,53.61
05030,49.01
05035,55.77
06002,60.25
06007,54.62
06009,53.97
06010,59.66
09010,56.65
09011,52.14
09012,54.26
09013,52.25
09014,57.41
09015,55.70
09016,61.53
09017,53.73
10005,54.36
10007,50.35
11005,48.03
11007,53.48
11015,52.06
11017,52.64
05018,61.81
05033,50.41
07017,51.19
07019,56.05
07023,43.70
07027,54.59
07031,44.36
07034,53.44
07040,39.68
07052,46.62
07057,50.53
07059,51.07
07061,53.43
07065,50.67
07089,56.90
07101,49.35
08004,51.28
08017,50.21
08019,54.86
08021,50.28
08037,51.21
09002,56.48
09003,57.10
09004,55.17
09005,54.07
09006,54.38
09007,53.23
09008,53.39
07012,41.23
09009,49.69
11020,55.94
14051,52.82
15058,45.63
18017,63.52
19048,49.78
24028,56.94
28032,53.00
05017,52.74
07069,45.34
11031,51.89
15005,45.63
15042,40.64
15099,54.62
17006,53.09
20515,49.09
25018,53.61
07078,60.80
07099,47.40
07106,52.96
07107,51.40
07108,52.35
08032,53.82
10012,51.79
11002,47.28
11003,50.53
11014,47.05
11023,44.85
11028,44.48
11030,48.10
11027,51.40
11037,50.44
11044,49.50
12001,46.70
12029,46.47
13013,52.82
13028,47.37
13048,53.82
13051,47.15
13069,51.25
13077,54.91
14023,56.83
14039,58.98
14044,52.44
14053,56.97
14063,57.94
14067,57.89
14070,48.47
14083,56.50
14097,54.17
14098,50.01
14101,55.16
14120,64.04
15025,47.20
15033,48.47
15035,49.91
15051,51.25
15057,53.73
11033,48.43
11042,47.30
12028,48.86
12035,52.70
12038,59.06
12055,53.01
12066,48.62
13008,51.63
13061,54.95
13075,54.81
13076,54.37
14093,53.44
14124,50.12
15002,58.09
15009,47.13
15011,51.28
15013,55.42
15014,54.69
15020,62.61
15023,51.17
15024,63.92
15028,56.31
15029,58.87
15030,53.01
15031,58.49
15036,49.72
15037,62.36
15039,56.84
15044,55.83
15053,57.06
15054,55.78
15070,55.98
15074,44.13
15075,53.50
15084,56.60
15087,56.50
15088,48.48
15091,61.84
15092,54.20
15093,54.20
15095,53.96
15096,48.46
15059,45.41
15060,46.08
15081,49.47
15104,52.19
15106,54.43
15120,45.90
16052,56.03
16053,57.57
16069,50.42
16088,46.54
16102,60.73
16108,51.75
17007,58.38
17018,48.94
15100,50.86
15101,53.91
15103,49.42
15108,57.05
15109,60.54
15113,53.90
15114,43.21
15118,51.52
15121,61.25
15122,57.19
16006,55.52
16034,47.61
16112,46.76
17004,48.76
18020,59.64
19006,55.06
19009,50.85
19010,45.58
19012,46.72
19018,50.56
19021,54.47
19025,52.27
19026,55.03
19031,50.07
19039,54.74
19041,51.32
19045,44.39
19046,58.96
17008,53.00
17011,52.88
17012,51.05
17017,46.68
17028,48.55
17029,47.75
19019,62.95
19049,52.56
20039,48.96
20043,46.33
20079,56.94
20184,47.16
20385,54.90
20067,50.19
21015,45.05
21034,43.38
21074,52.12
21114,56.02
21119,50.57
21140,49.77
22004,51.15
22011,50.72
22014,56.24
22016,58.05
23004,54.52
23005,66.58
23008,57.78
21001,37.81
21019,45.50
21041,60.15
21071,52.25
21085,44.45
21132,49.23
21154,43.16
21156,55.99
21164,43.56
21186,51.13
22006,62.58
24013,50.44
25010,47.26
25011,51.94
24035,47.45
25001,55.12
25006,58.52
25012,56.88
26002,55.81
26017,50.37
26018,66.87
26029,54.55
26030,55.50
26043,59.81
27004,52.70
27013,47.07
28003,49.35
28022,49.92
28027,54.98
28038,51.63
28041,58.13
29033,55.61
30028,52.44
30039,51.39
30048,45.01
30087,51.95
30105,49.24
30108,50.97
30112,53.59
30193,51.97
31041,46.70
31050,53.13
31101,49.90
32017,58.36
32056,57.90
01005,62.96
02001,58.37
02003,56.38
02005,52.06
03008,58.69
04003,55.48
26042,51.33
26055,56.30
27002,48.38
27003,42.53
27005,47.53
27006,42.03
27008,47.49
27012,51.78
28009,57.37
28021,46.48
28033,51.45
29005,52.92
29010,51.57
29025,49.21
30044,46.43
30102,50.14
30118,57.09
30123,49.34
30124,43.71
30131,52.49
30141,45.36
30155,42.50
30160,43.86
30174,47.37
30189,53.04
31059,56.08
32010,50.27
